speaker,start,end,transcript
IVR,192.11,194.71,"well uh, I have a number of uh"
IVR,195.53,198.62,things I'd like to ask you about. I wonder if you'd just mind uh.
IVR,199.11,200.9,answering questions uh
IVR,202.13,203.61,one after another if you
KY25A,203.295,204.405,yeah
KY25A,204.745,205.225,well
IVR,204.74,205.805,if I remind you of a
KY25A,205.51,207.93,now you might start that
KY25A,208.44,209.57,I was born in
KY25A,210.42,212.12,eighteen sixty seven
IVR,213.35,215.45,mhm and that makes you how old?
KY25A,215.78,216.6,ninety three
IVR,216.665,217.455,ninety three
